Record_id,Date,Commodity,Grade,Region,Source_Type,Trader_Name,Deal_Type,Price,PrevDatePrice,RunningAvg,DeviationPct,Flag,Quantity_Tons,Currency,Remarks
REC2558,03-01-2024,HDPE,Blow Moulding,Central,Trader,Trader_49,Spot,106.07,,106.07,0.00,OK,779,INR,Low supply
REC2923,03-01-2024,PET,Injection,West,Distributor,Trader_30,Contract,117.73,,117.73,0.00,OK,638,INR,Price correction
REC0004,04-01-2024,PET,Bottle,East,Manufacturer,Trader_34,Spot,123.35,,123.35,0.00,OK,862,INR,Price correction
REC0369,04-01-2024,PVC,Bottle,South,Trader,Trader_49,Contract,152.81,,152.81,0.00,OK,124,INR,Price correction
REC0734,04-01-2024,HDPE,Injection,West,Distributor,Trader_17,Contract,120.21,,120.21,0.00,OK,509,INR,Import pressure
REC1099,04-01-2024,PVC,Blow Moulding,Central,Manufacturer,Trader_1,Spot,87.75,,87.75,0.00,OK,936,INR,Price correction
REC1464,04-01-2024,PVC,Textile,Central,Manufacturer,Trader_46,Spot,122.76,139,130.88,-0.06,OK,736,INR,Price correction
REC1829,04-01-2024,LDPE,Blow Moulding,Central,Manufacturer,Trader_31,Spot,82.75,,82.75,0.00,OK,64,INR,Low supply
REC2194,04-01-2024,PVC,Injection,South,Distributor,Trader_60,Spot,81.98,119.57,100.78,-0.19,REVIEW,965,INR,Price correction
REC2559,04-01-2024,PET,Bottle,North,Trader,Trader_2,Spot,143.61,,143.61,0.00,OK,76,INR,Low supply
REC2924,04-01-2024,LDPE,Injection,Central,Distributor,Trader_48,Spot,88.13,,88.13,0.00,OK,763,INR,High demand
REC0005,05-01-2024,PET,Blow Moulding,South,Distributor,Trader_18,Contract,82.88,69.43,76.16,0.09,OK,190,INR,Low supply
REC0370,05-01-2024,PET,Bottle,North,Distributor,Trader_22,Contract,132.68,143.61,138.15,-0.04,OK,639,INR,Stable market
REC0735,05-01-2024,LDPE,Film,North,Distributor,Trader_44,Contract,113.07,,113.07,0.00,OK,937,INR,Price correction
REC1100,05-01-2024,HDPE,Textile,South,Trader,Trader_62,Contract,86.02,,86.02,0.00,OK,270,INR,High demand
REC1465,05-01-2024,PET,Film,East,Distributor,Trader_11,Contract,74.75,,74.75,0.00,OK,65,INR,Import pressure
REC1830,05-01-2024,HDPE,Blow Moulding,East,Manufacturer,Trader_51,Contract,127.22,67.11,97.17,0.31,ANOMALY,504,INR,High demand
REC2195,05-01-2024,PVC,Textile,East,Trader,Trader_30,Contract,120.57,,120.57,0.00,OK,831,INR,Low supply
REC2560,05-01-2024,HDPE,Blow Moulding,West,Trader,Trader_46,Contract,67.34,,67.34,0.00,OK,229,INR,Low supply
REC2925,05-01-2024,PVC,Injection,East,Manufacturer,Trader_43,Spot,69.96,,69.96,0.00,OK,702,INR,Low supply
REC0006,06-01-2024,HDPE,Textile,Central,Manufacturer,Trader_3,Spot,92.1,,92.10,0.00,OK,160,INR,Import pressure
REC0371,06-01-2024,HDPE,Bottle,East,Distributor,Trader_53,Spot,100,,100.00,0.00,OK,251,INR,Low supply
REC0736,06-01-2024,HDPE,Bottle,West,Distributor,Trader_32,Spot,102.87,,102.87,0.00,OK,764,INR,Import pressure
REC1101,06-01-2024,PET,Film,South,Trader,Trader_39,Contract,158.75,,158.75,0.00,OK,191,INR,Price correction
REC1466,06-01-2024,PP,Bottle,West,Manufacturer,Trader_31,Spot,145.96,,145.96,0.00,OK,823,INR,Price correction
REC1831,06-01-2024,PP,Textile,West,Trader,Trader_60,Spot,100.7,,100.70,0.00,OK,312,INR,Stable market
REC2196,06-01-2024,PVC,Blow Moulding,West,Trader,Trader_56,Spot,128.19,,128.19,0.00,OK,500,INR,Low supply
REC2561,06-01-2024,PET,Textile,West,Manufacturer,Trader_14,Contract,129.16,,129.16,0.00,OK,477,INR,Price correction
REC2926,06-01-2024,PP,Textile,South,Distributor,Trader_67,Contract,154.23,131.09,142.66,0.08,OK,212,INR,Stable market
REC0007,07-01-2024,PP,Textile,North,Manufacturer,Trader_8,Spot,110.21,,110.21,0.00,OK,497,INR,Low supply
REC0372,07-01-2024,PVC,Blow Moulding,South,Distributor,Trader_67,Contract,132.74,,132.74,0.00,OK,364,INR,Import pressure
REC0737,07-01-2024,LDPE,Bottle,West,Distributor,Trader_56,Spot,76.36,,76.36,0.00,OK,305,INR,Low supply
REC1102,07-01-2024,LDPE,Textile,South,Distributor,Trader_11,Spot,94.07,,94.07,0.00,OK,44,INR,Low supply
REC1467,07-01-2024,PET,Textile,South,Distributor,Trader_40,Contract,122.13,,122.13,0.00,OK,682,INR,Price correction
REC1832,07-01-2024,HDPE,Injection,South,Trader,Trader_11,Contract,158.34,,158.34,0.00,OK,497,INR,Price correction
REC2197,07-01-2024,HDPE,Bottle,South,Manufacturer,Trader_31,Spot,132.71,,132.71,0.00,OK,928,INR,Low supply
REC2562,07-01-2024,PP,Bottle,South,Trader,Trader_78,Contract,153.59,,153.59,0.00,OK,901,INR,High demand
REC2927,07-01-2024,PVC,Textile,East,Trader,Trader_53,Spot,82.74,120.57,101.66,-0.19,REVIEW,319,INR,Stable market
REC0008,08-01-2024,PP,Blow Moulding,West,Manufacturer,Trader_2,Contract,155.66,,155.66,0.00,OK,914,INR,Stable market
REC0373,08-01-2024,HDPE,Injection,North,Trader,Trader_68,Spot,68.83,,68.83,0.00,OK,913,INR,Price correction
REC0738,08-01-2024,PVC,Injection,Central,Trader,Trader_29,Contract,104.59,,104.59,0.00,OK,613,INR,Low supply
REC1103,08-01-2024,LDPE,Blow Moulding,South,Manufacturer,Trader_57,Contract,77.1,75.48,76.29,0.01,OK,826,INR,High demand
REC1468,08-01-2024,HDPE,Blow Moulding,North,Manufacturer,Trader_30,Contract,156.28,,156.28,0.00,OK,528,INR,Stable market
REC1833,08-01-2024,HDPE,Injection,South,Trader,Trader_22,Contract,128.21,158.34,143.28,-0.11,REVIEW,415,INR,Stable market
REC2198,08-01-2024,PET,Bottle,North,Manufacturer,Trader_53,Contract,148.79,132.68,141.69,0.05,OK,150,INR,Low supply
REC2563,08-01-2024,HDPE,Blow Moulding,North,Trader,Trader_53,Contract,87.51,,121.90,-0.28,ANOMALY,647,INR,Price correction
REC2928,08-01-2024,PET,Bottle,Central,Manufacturer,Trader_16,Spot,83.85,,83.85,0.00,OK,308,INR,Price correction
REC0009,09-01-2024,PP,Film,Central,Distributor,Trader_79,Contract,88.5,,88.50,0.00,OK,525,INR,Stable market
REC0374,09-01-2024,PP,Textile,West,Distributor,Trader_59,Spot,101.71,100.7,101.21,0.00,OK,225,INR,High demand
REC0739,09-01-2024,PVC,Injection,East,Distributor,Trader_10,Contract,71.91,69.96,70.94,0.01,OK,37,INR,Stable market
REC1104,09-01-2024,PP,Injection,South,Distributor,Trader_56,Contract,116.83,137.47,127.71,-0.09,OK,497,INR,High demand
REC1469,09-01-2024,LDPE,Textile,East,Distributor,Trader_50,Contract,128.67,,128.67,0.00,OK,220,INR,Low supply
REC1834,09-01-2024,HDPE,Bottle,West,Trader,Trader_20,Spot,155.87,102.87,129.37,0.20,ANOMALY,144,INR,Low supply
REC2199,09-01-2024,PVC,Film,North,Distributor,Trader_28,Spot,100.26,66.33,83.30,0.20,ANOMALY,988,INR,High demand
REC2564,09-01-2024,PET,Injection,East,Trader,Trader_53,Contract,130.9,97.31,124.32,0.05,OK,364,INR,Import pressure
REC2929,09-01-2024,PET,Blow Moulding,West,Trader,Trader_62,Spot,109.88,144.81,127.35,-0.14,REVIEW,905,INR,Import pressure
REC0010,10-01-2024,PET,Film,Central,Distributor,Trader_39,Spot,134.51,,134.51,0.00,OK,631,INR,Price correction
REC0375,10-01-2024,LDPE,Blow Moulding,Central,Manufacturer,Trader_4,Spot,103.6,82.75,93.18,0.11,REVIEW,777,INR,Stable market
REC0740,10-01-2024,PET,Injection,East,Distributor,Trader_1,Contract,74.38,130.9,111.84,-0.33,ANOMALY,651,INR,Stable market
REC1105,10-01-2024,PP,Blow Moulding,West,Trader,Trader_4,Contract,146.51,155.66,151.09,-0.03,OK,683,INR,Stable market
REC1470,10-01-2024,PP,Injection,South,Trader,Trader_44,Contract,81.64,116.83,118.49,-0.31,ANOMALY,593,INR,Import pressure
REC1835,10-01-2024,LDPE,Textile,East,Trader,Trader_40,Contract,84.14,128.67,106.41,-0.21,ANOMALY,913,INR,High demand
REC2200,10-01-2024,PET,Textile,Central,Distributor,Trader_13,Spot,72.16,,72.16,0.00,OK,337,INR,High demand
REC2565,10-01-2024,LDPE,Film,North,Distributor,Trader_10,Spot,157.63,113.07,135.35,0.16,REVIEW,544,INR,High demand
REC2930,10-01-2024,PET,Film,Central,Manufacturer,Trader_29,Contract,111.7,,123.11,-0.09,OK,243,INR,High demand
REC0011,11-01-2024,PVC,Textile,Central,Distributor,Trader_16,Contract,106.75,122.76,122.84,-0.13,REVIEW,670,INR,Low supply
REC0376,11-01-2024,PP,Film,North,Trader,Trader_26,Spot,80.85,,80.85,0.00,OK,510,INR,Stable market
REC0741,11-01-2024,HDPE,Film,East,Trader,Trader_37,Contract,104.51,,104.51,0.00,OK,771,INR,Price correction
REC1106,11-01-2024,PET,Textile,Central,Distributor,Trader_70,Contract,129.42,72.16,100.79,0.28,ANOMALY,395,INR,Import pressure
REC1471,11-01-2024,HDPE,Textile,North,Distributor,Trader_43,Contract,110.01,,110.01,0.00,OK,748,INR,High demand
REC1836,11-01-2024,HDPE,Film,West,Manufacturer,Trader_41,Contract,147.08,66.57,96.49,0.52,ANOMALY,332,INR,Price correction
REC2201,11-01-2024,PP,Film,Central,Manufacturer,Trader_62,Spot,156.04,88.5,122.27,0.28,ANOMALY,485,INR,Import pressure
REC2566,11-01-2024,PP,Film,West,Manufacturer,Trader_29,Contract,156.42,,156.42,0.00,OK,815,INR,Stable market
REC2931,11-01-2024,PVC,Film,West,Trader,Trader_34,Spot,66.75,,66.75,0.00,OK,731,INR,Low supply
REC0012,12-01-2024,PP,Textile,North,Distributor,Trader_14,Spot,93.3,110.21,101.76,-0.08,OK,134,INR,Low supply
REC0377,12-01-2024,PVC,Textile,Central,Trader,Trader_65,Contract,67.19,106.75,108.93,-0.38,ANOMALY,62,INR,Low supply
REC0742,12-01-2024,PET,Textile,Central,Manufacturer,Trader_23,Contract,94.01,129.42,98.53,-0.05,OK,282,INR,Stable market
REC1107,12-01-2024,LDPE,Film,West,Trader,Trader_18,Spot,93.13,,93.13,0.00,OK,264,INR,High demand
REC1472,12-01-2024,HDPE,Bottle,East,Distributor,Trader_58,Contract,126.61,100,113.31,0.12,REVIEW,628,INR,Price correction
REC1837,12-01-2024,LDPE,Film,East,Distributor,Trader_12,Contract,95.53,,95.53,0.00,OK,468,INR,Price correction
REC2202,12-01-2024,PP,Film,West,Trader,Trader_39,Contract,106.33,156.42,131.38,-0.19,REVIEW,910,INR,High demand
REC2567,12-01-2024,PP,Film,South,Distributor,Trader_38,Spot,87.32,,87.32,0.00,OK,613,INR,Low supply
REC2932,12-01-2024,PET,Film,West,Distributor,Trader_26,Spot,79.06,138.65,108.86,-0.27,ANOMALY,808,INR,Low supply
REC0013,13-01-2024,PET,Injection,East,Trader,Trader_54,Spot,108.31,74.38,111.13,-0.03,OK,847,INR,Low supply
REC0378,13-01-2024,HDPE,Textile,South,Distributor,Trader_10,Spot,77.67,86.02,81.85,-0.05,OK,831,INR,High demand
REC0743,13-01-2024,HDPE,Injection,West,Trader,Trader_35,Spot,152.93,120.21,136.57,0.12,REVIEW,137,INR,High demand
REC1108,13-01-2024,PET,Film,West,Manufacturer,Trader_44,Contract,118.35,79.06,112.02,0.06,OK,659,INR,High demand
REC1473,13-01-2024,PP,Bottle,South,Distributor,Trader_39,Contract,67.69,153.59,110.64,-0.39,ANOMALY,582,INR,Low supply
REC1838,13-01-2024,PVC,Textile,East,Distributor,Trader_5,Contract,159.01,82.74,120.77,0.32,ANOMALY,706,INR,Price correction
REC2203,13-01-2024,PVC,Injection,North,Trader,Trader_37,Contract,124.21,,124.21,0.00,OK,267,INR,Price correction
REC2568,13-01-2024,LDPE,Bottle,South,Distributor,Trader_8,Contract,74.53,,74.53,0.00,OK,50,INR,High demand
REC2933,13-01-2024,LDPE,Injection,North,Distributor,Trader_59,Spot,100.92,,100.92,0.00,OK,228,INR,Low supply
REC0014,14-01-2024,HDPE,Film,North,Distributor,Trader_42,Spot,71.76,,71.76,0.00,OK,85,INR,Import pressure
REC0379,14-01-2024,HDPE,Textile,South,Distributor,Trader_16,Contract,127.19,77.67,96.96,0.31,ANOMALY,464,INR,Import pressure
REC0744,14-01-2024,PET,Injection,West,Trader,Trader_13,Spot,100.69,117.73,109.21,-0.08,OK,754,INR,Price correction
REC1109,14-01-2024,PP,Textile,North,Distributor,Trader_33,Contract,132.91,93.3,112.14,0.19,REVIEW,720,INR,Low supply
REC1474,14-01-2024,PET,Textile,South,Manufacturer,Trader_29,Spot,66.42,122.13,94.28,-0.30,ANOMALY,698,INR,Price correction
REC1839,14-01-2024,PP,Film,Central,Trader,Trader_27,Spot,79.98,156.04,108.17,-0.26,ANOMALY,641,INR,Stable market
REC2204,14-01-2024,PET,Bottle,North,Manufacturer,Trader_24,Spot,128.3,148.79,138.35,-0.07,OK,297,INR,Import pressure
REC2569,14-01-2024,PET,Blow Moulding,East,Manufacturer,Trader_68,Spot,79.09,,79.09,0.00,OK,5,INR,High demand
REC2934,14-01-2024,PET,Textile,South,Distributor,Trader_66,Contract,129.95,122.13,106.17,0.22,ANOMALY,92,INR,Stable market
REC0015,15-01-2024,PVC,Blow Moulding,East,Manufacturer,Trader_66,Spot,140.88,,140.88,0.00,OK,388,INR,High demand
REC0380,15-01-2024,PET,Bottle,North,Manufacturer,Trader_51,Contract,141.22,128.3,138.92,0.02,OK,132,INR,Price correction
REC0745,15-01-2024,PP,Blow Moulding,North,Trader,Trader_30,Spot,137,,137.00,0.00,OK,531,INR,High demand
REC1110,15-01-2024,PP,Film,North,Trader,Trader_75,Contract,134.17,80.85,107.51,0.25,ANOMALY,180,INR,High demand
REC1475,15-01-2024,HDPE,Bottle,East,Trader,Trader_24,Spot,77.29,126.61,101.30,-0.24,ANOMALY,427,INR,Low supply
REC1840,15-01-2024,LDPE,Injection,South,Trader,Trader_44,Spot,114.05,,114.05,0.00,OK,929,INR,Low supply
REC2205,15-01-2024,PET,Film,North,Trader,Trader_55,Contract,116.92,,116.92,0.00,OK,996,INR,High demand
REC2570,15-01-2024,PVC,Bottle,South,Distributor,Trader_60,Spot,131.69,152.81,142.25,-0.07,OK,682,INR,Low supply
REC2935,15-01-2024,HDPE,Blow Moulding,Central,Trader,Trader_23,Spot,86.7,106.07,96.39,-0.10,REVIEW,541,INR,High demand
REC0016,16-01-2024,HDPE,Film,Central,Distributor,Trader_36,Spot,88.11,,88.11,0.00,OK,806,INR,High demand
REC0381,16-01-2024,HDPE,Textile,Central,Trader,Trader_26,Contract,158.88,92.1,125.49,0.27,ANOMALY,703,INR,High demand
REC0746,16-01-2024,PP,Film,Central,Distributor,Trader_23,Spot,115.37,79.98,109.97,0.05,OK,793,INR,Stable market
REC1111,16-01-2024,LDPE,Bottle,North,Trader,Trader_20,Contract,128.32,,128.32,0.00,OK,778,INR,Low supply
REC1476,16-01-2024,PVC,Blow Moulding,South,Manufacturer,Trader_6,Contract,88.91,132.74,110.83,-0.20,REVIEW,720,INR,Low supply
REC1841,16-01-2024,PVC,Film,South,Distributor,Trader_22,Contract,140.32,,140.32,0.00,OK,167,INR,High demand
REC2206,16-01-2024,PET,Injection,North,Manufacturer,Trader_16,Spot,84.5,,84.50,0.00,OK,433,INR,Low supply
REC2571,16-01-2024,LDPE,Textile,South,Distributor,Trader_47,Spot,133.95,94.07,114.01,0.17,REVIEW,249,INR,Stable market
REC2936,16-01-2024,PVC,Injection,West,Manufacturer,Trader_74,Spot,105.19,,105.19,0.00,OK,433,INR,Stable market
REC0017,17-01-2024,PVC,Injection,Central,Trader,Trader_16,Contract,133.91,104.59,119.25,0.12,REVIEW,663,INR,High demand
REC0382,17-01-2024,PET,Injection,South,Distributor,Trader_63,Contract,97.9,,97.90,0.00,OK,721,INR,Stable market
REC0747,17-01-2024,PP,Injection,North,Distributor,Trader_12,Contract,131.89,,131.89,0.00,OK,130,INR,Price correction
REC1112,17-01-2024,PVC,Injection,East,Trader,Trader_44,Contract,147.73,71.91,96.53,0.53,ANOMALY,768,INR,Import pressure
REC1477,17-01-2024,HDPE,Textile,Central,Manufacturer,Trader_70,Contract,105.81,158.88,118.93,-0.11,REVIEW,427,INR,High demand
REC1842,17-01-2024,LDPE,Film,East,Manufacturer,Trader_77,Contract,106.1,95.53,100.82,0.05,OK,64,INR,Low supply
REC2207,17-01-2024,HDPE,Textile,East,Manufacturer,Trader_44,Contract,136.74,,136.74,0.00,OK,90,INR,High demand
REC2572,17-01-2024,PET,Injection,South,Distributor,Trader_49,Spot,129.05,,113.48,0.14,REVIEW,223,INR,Price correction
REC2937,17-01-2024,HDPE,Textile,Central,Manufacturer,Trader_77,Contract,117.95,158.88,118.69,-0.01,OK,224,INR,Price correction
REC0018,18-01-2024,PET,Textile,West,Trader,Trader_55,Contract,71.49,129.16,100.33,-0.29,ANOMALY,299,INR,Import pressure
REC0383,18-01-2024,LDPE,Textile,West,Manufacturer,Trader_73,Spot,121.94,,121.94,0.00,OK,90,INR,Low supply
REC0748,18-01-2024,PP,Blow Moulding,Central,Distributor,Trader_4,Contract,89.71,,89.71,0.00,OK,349,INR,Low supply
REC1113,18-01-2024,HDPE,Injection,North,Trader,Trader_41,Contract,147.66,68.83,108.25,0.36,ANOMALY,333,INR,Stable market
REC1478,18-01-2024,PET,Blow Moulding,East,Distributor,Trader_18,Contract,111.31,79.09,95.20,0.17,REVIEW,375,INR,Low supply
REC1843,18-01-2024,LDPE,Textile,South,Trader,Trader_32,Spot,109.47,133.95,112.50,-0.03,OK,929,INR,Price correction
REC2208,18-01-2024,PP,Film,South,Distributor,Trader_30,Spot,141.36,87.32,114.34,0.24,ANOMALY,20,INR,Stable market
REC2573,18-01-2024,LDPE,Injection,South,Manufacturer,Trader_1,Spot,96.93,114.05,105.49,-0.08,OK,618,INR,Price correction
REC2938,18-01-2024,PET,Textile,Central,Manufacturer,Trader_27,Spot,149.42,94.01,111.25,0.34,ANOMALY,279,INR,Low supply
REC0019,19-01-2024,LDPE,Textile,East,Trader,Trader_7,Spot,155.73,84.14,122.85,0.27,ANOMALY,982,INR,Low supply
REC0384,19-01-2024,PVC,Bottle,East,Distributor,Trader_5,Contract,154.03,98.03,122.20,0.26,ANOMALY,108,INR,Import pressure
REC0749,19-01-2024,LDPE,Bottle,North,Manufacturer,Trader_47,Contract,154.48,128.32,141.40,0.09,OK,21,INR,Import pressure
REC1114,19-01-2024,PP,Injection,Central,Distributor,Trader_73,Spot,120,,120.00,0.00,OK,935,INR,Stable market
REC1479,19-01-2024,PET,Blow Moulding,South,Manufacturer,Trader_30,Spot,78.11,82.88,76.81,0.02,OK,210,INR,High demand
REC1844,19-01-2024,PP,Textile,North,Manufacturer,Trader_26,Spot,158.7,132.91,123.78,0.28,ANOMALY,35,INR,Low supply
REC2209,19-01-2024,PET,Bottle,South,Distributor,Trader_12,Spot,117.53,,117.53,0.00,OK,732,INR,Import pressure
REC2574,19-01-2024,LDPE,Film,South,Trader,Trader_30,Spot,81.13,,81.13,0.00,OK,295,INR,High demand
REC2939,19-01-2024,LDPE,Blow Moulding,West,Distributor,Trader_50,Contract,95.98,,95.98,0.00,OK,651,INR,High demand
REC0020,20-01-2024,PVC,Injection,Central,Manufacturer,Trader_55,Contract,83.34,133.91,107.28,-0.22,ANOMALY,273,INR,High demand
REC0385,20-01-2024,PET,Textile,East,Trader,Trader_23,Spot,80.87,,80.87,0.00,OK,147,INR,Low supply
REC0750,20-01-2024,PP,Injection,South,Distributor,Trader_26,Contract,115.36,81.64,117.97,-0.02,OK,828,INR,Low supply
REC1115,20-01-2024,PP,Film,West,Trader,Trader_27,Spot,105.84,106.33,122.86,-0.14,REVIEW,204,INR,Import pressure
REC1480,20-01-2024,PVC,Film,North,Distributor,Trader_18,Contract,128.97,100.26,98.52,0.31,ANOMALY,290,INR,Stable market
REC1845,20-01-2024,PET,Film,East,Distributor,Trader_14,Contract,105.4,74.75,90.08,0.17,REVIEW,337,INR,Stable market
REC2210,20-01-2024,PET,Film,West,Manufacturer,Trader_25,Contract,111.41,118.35,111.87,0.00,OK,632,INR,High demand
REC2575,20-01-2024,HDPE,Film,West,Manufacturer,Trader_73,Contract,120.17,147.08,102.41,0.17,REVIEW,462,INR,Low supply
REC2940,20-01-2024,PP,Blow Moulding,East,Trader,Trader_12,Contract,77.69,,77.69,0.00,OK,958,INR,Low supply
REC0021,21-01-2024,HDPE,Blow Moulding,South,Distributor,Trader_15,Contract,148.86,,148.86,0.00,OK,649,INR,Low supply
REC0386,21-01-2024,LDPE,Film,South,Distributor,Trader_59,Contract,133.18,81.13,107.16,0.24,ANOMALY,209,INR,Price correction
REC0751,21-01-2024,PVC,Injection,East,Manufacturer,Trader_22,Contract,143.98,147.73,108.40,0.33,ANOMALY,566,INR,High demand
REC1116,21-01-2024,PVC,Film,Central,Distributor,Trader_6,Spot,125.95,65.79,95.87,0.31,ANOMALY,715,INR,Import pressure
REC1481,21-01-2024,HDPE,Textile,North,Trader,Trader_35,Spot,121.63,110.01,115.82,0.05,OK,109,INR,Price correction
REC1846,21-01-2024,PET,Blow Moulding,South,Distributor,Trader_16,Spot,122.39,78.11,88.20,0.39,ANOMALY,80,INR,Import pressure
REC2211,21-01-2024,HDPE,Textile,East,Distributor,Trader_71,Contract,75.82,136.74,106.28,-0.29,ANOMALY,122,INR,High demand
REC2576,21-01-2024,PET,Film,North,Manufacturer,Trader_21,Spot,110.95,116.92,113.94,-0.03,OK,208,INR,Import pressure
REC2941,21-01-2024,PET,Blow Moulding,South,Manufacturer,Trader_34,Contract,111.48,78.11,92.86,0.20,ANOMALY,749,INR,Stable market
REC0022,22-01-2024,PET,Textile,West,Distributor,Trader_34,Spot,141.9,71.49,114.18,0.24,ANOMALY,566,INR,Price correction
REC0387,22-01-2024,HDPE,Film,Central,Trader,Trader_2,Contract,136.72,88.11,112.42,0.22,ANOMALY,645,INR,High demand
REC0752,22-01-2024,PVC,Blow Moulding,East,Distributor,Trader_63,Spot,99.68,140.88,120.28,-0.17,REVIEW,651,INR,Low supply
REC1117,22-01-2024,PVC,Blow Moulding,North,Trader,Trader_19,Contract,142.73,,142.73,0.00,OK,200,INR,Price correction
REC1482,22-01-2024,PET,Bottle,Central,Manufacturer,Trader_28,Contract,92.97,83.85,88.41,0.05,OK,758,INR,High demand
REC1847,22-01-2024,LDPE,Textile,North,Trader,Trader_70,Spot,70.18,,70.18,0.00,OK,759,INR,Import pressure
REC2212,22-01-2024,HDPE,Film,North,Manufacturer,Trader_74,Contract,72.98,71.76,72.37,0.01,OK,274,INR,Price correction
REC2577,22-01-2024,PVC,Blow Moulding,Central,Manufacturer,Trader_45,Spot,134.24,87.75,111.00,0.21,ANOMALY,206,INR,Stable market
REC2942,22-01-2024,LDPE,Injection,South,Trader,Trader_17,Contract,135.94,96.93,115.64,0.18,REVIEW,981,INR,Stable market
REC0023,23-01-2024,PVC,Bottle,North,Distributor,Trader_11,Contract,156.95,,156.95,0.00,OK,539,INR,High demand
REC0388,23-01-2024,HDPE,Bottle,South,Distributor,Trader_43,Spot,73.45,132.71,103.08,-0.29,ANOMALY,762,INR,Low supply
REC0753,23-01-2024,LDPE,Film,West,Trader,Trader_12,Spot,74.52,93.13,83.83,-0.11,REVIEW,634,INR,Low supply
REC1118,23-01-2024,PET,Blow Moulding,East,Distributor,Trader_68,Contract,65.54,111.31,85.31,-0.23,ANOMALY,830,INR,High demand
REC1483,23-01-2024,PP,Blow Moulding,East,Manufacturer,Trader_35,Contract,66.3,77.69,72.00,-0.08,OK,751,INR,Price correction
REC1848,23-01-2024,HDPE,Bottle,Central,Manufacturer,Trader_41,Spot,145.01,,145.01,0.00,OK,321,INR,High demand
REC2213,23-01-2024,PET,Bottle,North,Trader,Trader_11,Contract,97.26,141.22,131.98,-0.26,ANOMALY,399,INR,Low supply
REC2578,23-01-2024,HDPE,Textile,South,Distributor,Trader_26,Contract,106.93,127.19,99.45,0.08,OK,570,INR,Price correction
